"dataset","position","candidate","localIdentity","source","witness","candidatePool","bootstrap","promotionEvaluatedA","promotionEvaluatedC","promotionClassA","promotionClassC","promotionScoresA","promotionScoresC","availableA","consideredA","reconstructionA","segmentA","availableC","consideredC","directValidityA","directValidityC","repairsA","repairsC","reconstructionC","segmentC","unionSegmentCount","reachesDInput","DPathCount","inBestGenerated","inFinalWinner","FIRST_LOSS_STAGE","category","EXACT_REASON"
"007","10","B611","BOTTOM:611","ORACLE_INJECTED","true","true","false","true","true","P+R","P+R","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":0.42182200985728546,""rank"":3}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":0.547031297092336,""rank"":2}]","true","55","34","21","true","58","[[1,null],[2,null],[3,null],[4,null],[5,true]]","[[1,null],[2,null],[3,null],[4,null],[5,true]]","non exécuté","non exécuté","43","28","34","true","45792","true","true","NONE","null","Present in final winner."
"009","0","B190","BOTTOM:16","ORACLE_INJECTED","true","true","false","true","true","P+R","P+R","[{""cycle"":1,""score"":1.204374435562492,""rank"":1},{""cycle"":2,""score"":1.204374435562494,""rank"":1},{""cycle"":3,""score"":1.2398490187476718,""rank"":1},{""cycle"":4,""score"":2.1529159349932514,""rank"":1},{""cycle"":5,""score"":1.8540335881034642,""rank"":2}]","[{""cycle"":1,""score"":1.204374435562492,""rank"":1},{""cycle"":2,""score"":1.204374435562494,""rank"":1},{""cycle"":3,""score"":1.2398490187476718,""rank"":1},{""cycle"":4,""score"":2.1136388273079607,""rank"":1},{""cycle"":5,""score"":1.434677093002989,""rank"":1}]","true","18","542","88","true","128","[[1,true],[2,true],[3,true],[4,true],[5,true]]","[[1,true],[2,true],[3,true],[4,true],[5,true]]","non exécuté","non exécuté","617","100","100","true","43889","true","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"009","0","B191","BOTTOM:17","ORACLE_INJECTED","false","true","false","true","true","P+R","P+R","[{""cycle"":1,""score"":1.1131233066874757,""rank"":2},{""cycle"":2,""score"":1.113123306687482,""rank"":2},{""cycle"":3,""score"":1.1484384674008887,""rank"":2},{""cycle"":4,""score"":1.8897350266352948,""rank"":2},{""cycle"":5,""score"":2.383617220880306,""rank"":1}]","[{""cycle"":1,""score"":1.1131233066874757,""rank"":2},{""cycle"":2,""score"":1.113123306687482,""rank"":2},{""cycle"":3,""score"":1.1484384674008887,""rank"":2},{""cycle"":4,""score"":1.8433693524292956,""rank"":2},{""cycle"":5,""score"":1.06538114318339,""rank"":2}]","true","18","542","88","true","128","[[1,true],[2,true],[3,true],[4,true],[5,true]]","[[1,true],[2,true],[3,true],[4,true],[5,true]]","non exécuté","non exécuté","589","96","96","true","24457","false","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"009","1","T218","TOP:44","ORACLE_INJECTED","true","true","false","true","true","P","P","[{""cycle"":1,""score"":0.5951847704367301,""rank"":2},{""cycle"":2,""score"":0.5951847704367301,""rank"":2},{""cycle"":3,""score"":0.5951847704367301,""rank"":1},{""cycle"":4,""score"":0.37140095993659805,""rank"":2},{""cycle"":5,""score"":0.4102837112207609,""rank"":2}]","[{""cycle"":1,""score"":0.5951847704367301,""rank"":2},{""cycle"":2,""score"":0.5951847704367301,""rank"":2},{""cycle"":3,""score"":0.5951847704367301,""rank"":1},{""cycle"":4,""score"":0.09305996332843197,""rank"":2},{""cycle"":5,""score"":0.29912802186882825,""rank"":2}]","true","55","625","90","true","138","[[1,true],[2,true],[3,true],[4,true],[5,true]]","[[1,true],[2,true],[3,true],[4,true],[5,true]]","non exécuté","non exécuté","717","101","101","true","15356","true","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"009","1","T219","TOP:45","ORACLE_INJECTED","false","true","false","true","true","P+Ac","P+Ac","[{""cycle"":1,""score"":0.8185890257558791,""rank"":1},{""cycle"":2,""score"":0.8185890257558791,""rank"":1},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":0.8185890257558791,""rank"":1},{""cycle"":2,""score"":0.8185890257558791,""rank"":1},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","true","91","3964","54","true","240","[[1,true],[2,true],[3,null],[4,null],[5,null]]","[[1,true],[2,true],[3,null],[4,null],[5,null]]","non exécuté","non exécuté","3943","79","79","true","10817","false","true","NONE","null","Present in final winner."
"009","2","B270","BOTTOM:96","ORACLE_INJECTED","true","true","false","true","true","P+R","P+R","[{""cycle"":1,""score"":0.8525589444692795,""rank"":10},{""cycle"":2,""score"":0.8201743979653415,""rank"":3},{""cycle"":3,""score"":0.7944109006401289,""rank"":2},{""cycle"":4,""score"":1.6391052621475677,""rank"":2},{""cycle"":5,""score"":1.00749525236711,""rank"":2}]","[{""cycle"":1,""score"":0.8525589444692795,""rank"":10},{""cycle"":2,""score"":0.8201743979653415,""rank"":3},{""cycle"":3,""score"":0.7944109006401289,""rank"":2},{""cycle"":4,""score"":1.55565055312826,""rank"":1},{""cycle"":5,""score"":0.8726914292132371,""rank"":2}]","true","233","852","122","true","261","[[1,true],[2,true],[3,true],[4,true],[5,true]]","[[1,true],[2,true],[3,true],[4,true],[5,true]]","non exécuté","non exécuté","1012","142","148","true","19195","true","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"009","2","B271","BOTTOM:97","ORACLE_INJECTED","false","true","false","true","true","P+R","P+R","[{""cycle"":1,""score"":0.8722001044435348,""rank"":9},{""cycle"":2,""score"":0.8440299325949852,""rank"":2},{""cycle"":3,""score"":0.8110281087055407,""rank"":1},{""cycle"":4,""score"":1.6503403323191321,""rank"":1},{""cycle"":5,""score"":1.1224695532563933,""rank"":1}]","[{""cycle"":1,""score"":0.8722001044435348,""rank"":9},{""cycle"":2,""score"":0.8440299325949852,""rank"":2},{""cycle"":3,""score"":0.8110281087055407,""rank"":1},{""cycle"":4,""score"":1.547211084224733,""rank"":2},{""cycle"":5,""score"":1.0517186622037926,""rank"":1}]","true","230","849","121","true","253","[[1,true],[2,true],[3,true],[4,true],[5,true]]","[[1,true],[2,true],[3,true],[4,true],[5,true]]","non exécuté","non exécuté","989","136","142","true","17194","false","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"009","2","B272","BOTTOM:98","ORACLE_INJECTED","false","true","false","true","true","P+R+Ac","P+R+Ac","[{""cycle"":1,""score"":0.884457714535447,""rank"":8},{""cycle"":2,""score"":0.8547874428031648,""rank"":1},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":0.884457714535447,""rank"":8},{""cycle"":2,""score"":0.8547874428031648,""rank"":1},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","true","419","3235","74","true","457","[[1,true],[2,true],[3,null],[4,null],[5,null]]","[[1,true],[2,true],[3,null],[4,null],[5,null]]","non exécuté","non exécuté","2985","88","88","true","11917","false","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"009","3","T277","TOP:103","ORACLE_INJECTED","false","true","false","true","true","Q","Q","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","true","3","3","1","true","8","[[1,null],[2,false],[3,false],[4,false],[5,false]]","[[1,null],[2,false],[3,false],[4,false],[5,false]]","c2:1; c3:1; c4:1; c5:1","c2:1; c3:1; c4:1; c5:1","28","8","8","true","1639","false","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
"009","3","T278","TOP:104","ORACLE_INJECTED","true","true","false","true","true","Q","Q","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","[{""cycle"":1,""score"":null,""rank"":null},{""cycle"":2,""score"":null,""rank"":null},{""cycle"":3,""score"":null,""rank"":null},{""cycle"":4,""score"":null,""rank"":null},{""cycle"":5,""score"":null,""rank"":null}]","true","6","6","2","true","16","[[1,null],[2,false],[3,false],[4,false],[5,false]]","[[1,null],[2,false],[3,false],[4,false],[5,false]]","c2:2; c3:2; c4:2; c5:2","c2:2; c3:2; c4:2; c5:2","56","15","15","true","3406","false","false","FINAL_WINNER_SELECTION","OTHER","Present in generated D paths until final ranking; not selected in the final winner. No irreversible search loss."
