"dataset","candidate","originalIndex","source","inCalibrationRAW","inNaturalPool","inOracleOptions","inAugmentedPool"
"009","TOP:353","527","ORACLE_INJECTED","false","false","true","true"
"009","TOP:354","528","ORACLE_INJECTED","false","false","true","true"
"009","BOTTOM:358","532","NATURAL_POOL","true","true","false","true"
"009","TOP:360","534","NATURAL_POOL","true","true","false","true"
"009","BOTTOM:371","545","NATURAL_POOL","true","true","false","true"
"009","TOP:380","554","NATURAL_POOL","true","true","false","true"
"009","BOTTOM:386","560","NATURAL_POOL","true","true","false","true"
"009","TOP:394","568","NATURAL_POOL","true","true","false","true"
"009","BOTTOM:404","578","ORACLE_INJECTED","false","false","true","true"
"009","TOP:423","597","NATURAL_POOL","true","true","false","true"
"009","BOTTOM:425","599","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:0","177","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:1","178","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:2","179","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:3","180","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:4","181","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:5","182","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:6","183","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:7","184","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:8","185","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:9","186","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:10","187","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:11","188","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:12","189","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:13","190","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:14","191","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:15","192","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:16","193","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:17","194","ORACLE_INJECTED","false","false","true","true"
"010","TOP:27","204","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:40","217","NATURAL_POOL","true","true","false","true"
"010","TOP:44","221","ORACLE_INJECTED","false","false","true","true"
"010","TOP:45","222","ORACLE_INJECTED","false","false","true","true"
"010","TOP:56","233","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:60","237","NATURAL_POOL","true","true","false","true"
"010","TOP:66","243","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:75","252","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:92","269","ORACLE_INJECTED","false","false","true","true"
"010","TOP:92","269","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:93","270","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:94","271","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:95","272","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:96","273","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:97","274","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:98","275","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:99","276","ORACLE_INJECTED","false","false","true","true"
"010","TOP:114","291","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:119","296","NATURAL_POOL","true","true","false","true"
"010","TOP:124","301","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:133","310","NATURAL_POOL","true","true","false","true"
"010","TOP:139","316","NATURAL_POOL","true","true","false","true"
"010","TOP:148","325","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:156","333","NATURAL_POOL","true","true","false","true"
"010","TOP:164","341","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:171","348","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:172","349","ORACLE_INJECTED","false","false","true","true"
"010","BOTTOM:173","350","ORACLE_INJECTED","false","false","true","true"
"010","TOP:188","365","NATURAL_POOL","true","true","false","true"
"010","BOTTOM:195","372","NATURAL_POOL","true","true","false","true"
